Country,HDI,HIV,Children,HDI_log,HIV_log,Children_log
Afghanistan,0.454,0.06,5.82,-0.34294414714289606,-1.2218487496163564,0.7649229846498885
Angola,0.495,2.1,6.16,-0.3053948010664313,0.3222192947339193,0.7895807121644255
Argentina,0.816,0.4,2.37,-0.08830984124613889,-0.3979400086720376,0.37474834601010387
Armenia,0.729,0.2,1.55,-0.1372724716820254,-0.6989700043360187,0.1903316981702915
Australia,0.927,0.2,1.93,-0.0329202658555029,-0.6989700043360187,0.28555730900777376
Austria,0.88,0.4,1.44,-0.05551732784983137,-0.3979400086720376,0.15836249209524964
Azerbaijan,0.741,0.1,1.96,-0.13018179202067184,-1.0,0.292256071356476
Bahamas,0.788,2.8,1.87,-0.10347378251044466,0.4471580313422192,0.27184160653649897
Bangladesh,0.545,0.06,2.28,-0.2636034977233575,-1.2218487496163564,0.35793484700045375
Barbados,0.78,0.9,1.78,-0.10790539730951958,-0.045757490560675115,0.250420002308894
Belarus,0.787,0.4,1.54,-0.10402526764093542,-0.3979400086720376,0.18752072083646307
Belgium,0.884,0.3,1.81,-0.05354773498692691,-0.5228787452803376,0.2576785748691845
Belize,0.7,2.4,2.72,-0.1549019599857432,0.38021124171160603,0.43456890403419873
Benin,0.454,1.2,5.36,-0.34294414714289606,0.07918124604762482,0.7291647896927701
Bhutan,0.572,0.3,2.38,-0.24260397120697583,-0.5228787452803376,0.37657695705651195
Bolivia,0.649,0.3,3.2,-0.18775530319963074,-0.5228787452803376,0.505149978319906
Botswana,0.678,23.7,2.88,-0.16877030613293661,1.3747483460101038,0.45939248775923086
Brazil,0.724,0.3,1.81,-0.1402614338028531,-0.5228787452803376,0.2576785748691845
Bulgaria,0.775,0.1,1.49,-0.1106982974936897,-1.0,0.17318626841227402
Burkina Faso,0.377,1.2,5.87,-0.42365864979420714,0.07918124604762482,0.7686381012476144
Burundi,0.385,1.4,6.26,-0.4145392704914993,0.146128035678238,0.7965743332104297
Cambodia,0.533,0.6,2.88,-0.2732727909734277,-0.2218487496163564,0.45939248775923086
Cameroon,0.486,4.7,5.11,-0.3133637307377066,0.6720978579357175,0.7084209001347127
Canada,0.903,0.3,1.64,-0.04431224968649419,-0.5228787452803376,0.21484384804769785
Cape Verde,0.632,1.0,2.67,-0.19928292171761497,0.0,0.42651126136457523
Central African Republic,0.361,4.9,5.22,-0.4424927980943421,0.6901960800285137,0.7176705030022621
Chad,0.37,3.2,6.59,-0.431798275933005,0.505149978319906,0.8188854145940099
Chile,0.82,0.5,1.88,-0.08618614761628333,-0.3010299956639812,0.2741578492636798
Colombia,0.7,0.5,2.01,-0.1549019599857432,-0.3010299956639812,0.30319605742048883
Comoros,0.479,0.1,4.92,-0.3196644865854368,-1.0,0.6919651027673603
"Congo, Rep.",0.558,3.3,4.95,-0.25336580106242124,0.5185139398778874,0.6946051989335688
Costa Rica,0.752,0.3,1.92,-0.12378215940835775,-0.5228787452803376,0.28330122870354957
Cote d'Ivoire,0.441,3.2,5.22,-0.35556141053216145,0.505149978319906,0.7176705030022621
Croatia,0.808,0.06,1.47,-0.09258863922541381,-1.2218487496163564,0.1673173347481761
Cuba,0.78,0.2,1.64,-0.10790539730951958,-0.6989700043360187,0.21484384804769785
Czech Republic,0.861,0.06,1.47,-0.06499684854634524,-1.2218487496163564,0.1673173347481761
Denmark,0.91,0.2,1.88,-0.040958607678906384,-0.6989700043360187,0.2741578492636798
Djibouti,0.451,1.5,3.3,-0.34582345812203946,0.17609125905568124,0.5185139398778874
Dominican Republic,0.703,0.7,2.6,-0.15304467498017607,-0.1549019599857432,0.414973347970818
Ecuador,0.71,0.4,2.66,-0.14874165128092473,-0.3979400086720376,0.424881636631067
Egypt,0.671,0.06,3.19,-0.17327747983100789,-1.2218487496163564,0.5037906830571811
El Salvador,0.666,0.6,2.27,-0.17652577082969892,-0.2218487496163564,0.35602585719312274
Equatorial Guinea,0.58,4.4,5.21,-0.23657200643706275,0.6434526764861874,0.7168377232995244
Eritrea,0.405,0.7,4.61,-0.3925449767853314,-0.1549019599857432,0.6637009253896482
Estonia,0.838,1.3,1.64,-0.07675598136972352,0.11394335230683679,0.21484384804769785
Ethiopia,0.411,1.6,4.92,-0.38615817812393083,0.2041199826559248,0.6919651027673603
Fiji,0.709,0.06,2.67,-0.1493537648169335,-1.2218487496163564,0.42651126136457523
Finland,0.878,0.1,1.87,-0.05650548409389743,-1.0,0.27184160653649897
France,0.882,0.4,1.99,-0.054531414868180264,-0.3979400086720376,0.29885307640970665
Gabon,0.664,5.1,4.08,-0.1778319206319825,0.7075701760979364,0.6106601630898799
Gambia,0.441,1.4,5.71,-0.35556141053216145,0.146128035678238,0.756636108245848
Georgia,0.742,0.2,1.92,-0.12959609472097294,-0.6989700043360187,0.28330122870354957
Germany,0.912,0.1,1.39,-0.04000516167158381,-1.0,0.14301480025409505
Ghana,0.554,1.5,4.27,-0.2564902352715702,0.17609125905568124,0.6304278750250238
Greece,0.86,0.2,1.41,-0.06550154875643228,-0.6989700043360187,0.14921911265537988
Guatemala,0.609,0.7,3.38,-0.21538270736712464,-0.1549019599857432,0.5289167002776547
Guinea,0.385,1.4,5.34,-0.4145392704914993,0.146128035678238,0.7275412570285564
Guinea-Bissau,0.41,2.4,5.05,-0.38721614328026455,0.38021124171160603,0.7032913781186614
Guyana,0.624,1.1,2.66,-0.20481541031757602,0.04139268515822508,0.424881636631067
Haiti,0.47,1.9,3.33,-0.3279021420642826,0.2787536009528289,0.5224442335063199
Hungary,0.821,0.1,1.33,-0.08565684288055925,-1.0,0.12385164096708581
Iceland,0.894,0.3,2.07,-0.04866248120408232,-0.5228787452803376,0.3159703454569177
Indonesia,0.662,0.2,2.48,-0.17914201056030005,-0.6989700043360187,0.3944516808262163
Iran,0.745,0.2,1.77,-0.12784372725170717,-0.6989700043360187,0.24797326636180664
Ireland,0.909,0.3,2.0,-0.041436116778032536,-0.5228787452803376,0.3010299956639812
Israel,0.883,0.2,3.0,-0.05403929642243141,-0.6989700043360187,0.47712125471966244
Italy,0.872,0.4,1.43,-0.05948351506743278,-0.3979400086720376,0.1553360374650618
Jamaica,0.722,1.8,2.17,-0.14146280243036088,0.25527250510330607,0.3364597338485295
Japan,0.884,0.06,1.37,-0.05354773498692691,-1.2218487496163564,0.1367205671564068
Kazakhstan,0.766,0.2,2.67,-0.11577123036739606,-0.6989700043360187,0.42651126136457523
Kenya,0.53,6.2,4.37,-0.27572413039921095,0.7923916894982539,0.6404814369704218
Kyrgyz Republic,0.632,0.3,2.98,-0.19928292171761497,-0.5228787452803376,0.4742162640762552
Lao,0.542,0.3,3.15,-0.266000713461613,-0.5228787452803376,0.4983105537896005
Latvia,0.81,0.7,1.51,-0.09151498112135022,-0.1549019599857432,0.17897694729316943
Lebanon,0.758,0.1,1.61,-0.12033079436794646,-1.0,0.20682587603184974
Lesotho,0.469,23.2,3.3,-0.32882715728491674,1.3654879848908996,0.5185139398778874
Liberia,0.406,1.1,5.02,-0.39147396642280585,0.04139268515822508,0.7007037171450193
Lithuania,0.826,0.1,1.51,-0.0830199526796178,-1.0,0.17897694729316943
